analyte,n_gaps,median_gap_h,mean_gap_h,IQR_h,gamma_per_h,halflife_h
BUN,50901,8.0,8.6,4–12,0.917,8.0
Base Excess,49715,4.0,5.3,4–4,0.8409,4.0
Bicarbonate,50609,8.0,8.5,4–12,0.917,8.0
Bilirubin,9405,8.0,8.7,4–12,0.917,8.0
Calcium,39602,8.0,8.1,4–12,0.917,8.0
Chloride,54593,8.0,8.1,4–12,0.917,8.0
Creatinine,51169,8.0,8.5,4–12,0.917,8.0
Glucose,21162,4.0,5.2,4–4,0.8409,4.0
Hematocrit,61873,4.0,7.0,4–8,0.8409,4.0
Hemoglobin,4657,4.0,6.0,4–8,0.8409,4.0
INR,29321,8.0,8.3,4–12,0.917,8.0
Lactate,36603,4.0,5.8,4–8,0.8409,4.0
Magnesium,43293,8.0,8.1,4–12,0.917,8.0
PTT,31910,8.0,8.0,4–12,0.917,8.0
PaCO2,49714,4.0,5.3,4–4,0.8409,4.0
PaO2,49754,4.0,5.3,4–4,0.8409,4.0
Platelets,48217,8.0,8.2,4–12,0.917,8.0
Sodium,51846,8.0,7.8,4–8,0.917,8.0
WBC,46840,8.0,8.3,4–12,0.917,8.0
pH,54835,4.0,5.4,4–4,0.8409,4.0
abp_dia,103468,4.0,4.0,4–4,0.8409,4.0
abp_mean,97016,4.0,4.0,4–4,0.8409,4.0
abp_sys,103478,4.0,4.0,4–4,0.8409,4.0
fio2,88678,4.0,4.3,4–4,0.8409,4.0
gcs_eye,225239,4.0,4.5,4–4,0.8409,4.0
gcs_motor,224276,4.0,4.5,4–4,0.8409,4.0
gcs_verbal,224913,4.0,4.5,4–4,0.8409,4.0
heart_rate,267465,4.0,4.0,4–4,0.8409,4.0
nibp_dia,180941,4.0,4.2,4–4,0.8409,4.0
nibp_mean,180684,4.0,4.2,4–4,0.8409,4.0
nibp_sys,180972,4.0,4.2,4–4,0.8409,4.0
peep,69802,4.0,4.3,4–4,0.8409,4.0
resp_rate,266158,4.0,4.0,4–4,0.8409,4.0
spo2,266262,4.0,4.0,4–4,0.8409,4.0
temp_c,235085,4.0,4.2,4–4,0.8409,4.0
